ID,Name,Offer Name,MINIMUM NIGHTS,MAXIMUM NIGHTS,VALID FROM,VALID TO,SINGLE BED,DOUBLE BED,Package,Offer type,Drinks,BB price,LAST MODIFICATION,MODIFIED BY,Priority,OFFER ON AGE,ACTIVE ?,Offer description,,Offer supplements,Offer tag
Id,Nome,Nome Offerta,minimo notti,massimo notti,Valida dal,Valida al,Prezzo HB,Prezzo FB,Pacchetto,Tipo offerta,Bevande,Prezzo BB,Last modified,Modified by,Priorità,Riduzioni offerta,Attiva / Non attiva,Descrizione offerta,Omaggi,Supplementi offerta,Tag Offerta
1,Shuttle to the beach,Offerta 8 giorni 7 notti,7,7,4/6/2023,11/6/2023,400,500,- Tv Con Canali Sky In Camera - Aria Condizionata - Connessione Wi-Fi - Colazione con dolce e salato - Bevande incluse ai pasti - Pasti al ristorante con 3 Menu' a scelta - Serata Pizza - 3 Serate Musicali - Navetta per la spiaggia - Piscina esterna con S,Totale offerta,incluse,,15/05/2023 15:51,Alexander Cannava,,"Infant da 0 a 2,99 gratuiti 3°/4° letto 3/11,99 anni sconto del 50% 3°/4° letto dai 12 anni ai 17,99 sconto del 25%  3°/4° letto da 18 anni sconto del 10%",Yes,Sistemazione in camera standard,giro dell'isola,"Culla Euro 10,00 al giorno , da regolare in loco Camera Singola Euro 15,00 al giorno Superior Balcone Vista Mare Euro 15,00 per camera al giorno La struttura accetta animali di piccola taglia senza supplemento, non hanno acceso alle aree comuni e sono da segnalare all'atto della prenotazione",ALL INCLUSIVE - VICINO AL MARE - 3 PISCINE - VACANZA TOP
2,Shuttle to the beach,Offerta Giugno Eden,1,5,4/6/2023,11/6/2023,100,120,- Tv Con Canali Sky In Camera - Aria Condizionata - Connessione Wi-Fi - Colazione con dolce e salato - Bevande incluse ai pasti - Pasti al ristorante con 3 Menu' a scelta - Serata Pizza - 3 Serate Musicali - Navetta per la spiaggia - Piscina esterna con S,Costo giornaliero,incluse,,13/05/2023 09:25,Alexander Cannava,,"Infant da 0 a 2,99 gratuiti 3°/4° letto 3/11,99 anni sconto del 50% 3°/4° letto dai 12 anni ai 17,99 sconto del 25%  3°/4° letto da 18 anni sconto del 10%",Yes,Sistemazione in camera standard,giro dell'isola,"Culla Euro 10,00 al giorno , da regolare in loco Camera Singola Euro 15,00 al giorno Superior Balcone Vista Mare Euro 15,00 per camera al giorno La struttura accetta animali di piccola taglia senza supplemento, non hanno acceso alle aree comuni e sono da segnalare all'atto della prenotazione",ALL INCLUSIVE - VICINO AL MARE - 3 PISCINE - VACANZA TOP
3,Shuttle to the beach,Offerta Agosto Eden,7,7,4/6/2023,11/6/2023,900,1000,- Tv Con Canali Sky In Camera - Aria Condizionata - Connessione Wi-Fi - Colazione con dolce e salato - Bevande incluse ai pasti - Pasti al ristorante con 3 Menu' a scelta - Serata Pizza - 3 Serate Musicali - Navetta per la spiaggia - Piscina esterna con S,Totale offerta,incluse,,13/05/2023 09:25,Alexander Cannava,,"Infant da 0 a 2,99 gratuiti 3°/4° letto 3/11,99 anni sconto del 50% 3°/4° letto dai 12 anni ai 17,99 sconto del 25%  3°/4° letto da 18 anni sconto del 10%",Yes,Sistemazione in camera standard,giro dell'isola,"Culla Euro 10,00 al giorno , da regolare in loco Camera Singola Euro 15,00 al giorno Superior Balcone Vista Mare Euro 15,00 per camera al giorno La struttura accetta animali di piccola taglia senza supplemento, non hanno acceso alle aree comuni e sono da segnalare all'atto della prenotazione",ALL INCLUSIVE - VICINO AL MARE - 3 PISCINE - VACANZA TOP
5,Shuttle to the beach,Offerta 8 giorni 7 notti,7,7,4/6/2023,11/6/2023,400,500,- Tv Con Canali Sky In Camera - Aria Condizionata - Connessione Wi-Fi - Colazione con dolce e salato - Bevande incluse ai pasti - Pasti al ristorante con 3 Menu' a scelta - Serata Pizza - 3 Serate Musicali - Navetta per la spiaggia - Piscina esterna con S,,incluse,,13/05/2023 12:10,Alexander Cannava,,"Infant da 0 a 2,99 gratuiti 3°/4° letto 3/11,99 anni sconto del 50% 3°/4° letto dai 12 anni ai 17,99 sconto del 25%  3°/4° letto da 18 anni sconto del 10%",Yes,Sistemazione in camera standard,giro dell'isola,"Culla Euro 10,00 al giorno , da regolare in loco Camera Singola Euro 15,00 al giorno Superior Balcone Vista Mare Euro 15,00 per camera al giorno La struttura accetta animali di piccola taglia senza supplemento, non hanno acceso alle aree comuni e sono da segnalare all'atto della prenotazione",ALL INCLUSIVE - VICINO AL MARE - 3 PISCINE - VACANZA TOP
6,Shuttle to the beach,Offerta 8 giorni 7 notti,7,7,13/08/2023,25/06/2023,400,500,- Tv Con Canali Sky In Camera - Aria Condizionata - Connessione Wi-Fi - Colazione con dolce e salato - Bevande incluse ai pasti - Pasti al ristorante con 3 Menu' a scelta - Serata Pizza - 3 Serate Musicali - Navetta per la spiaggia - Piscina esterna con S,Totale offerta,incluse,,13/05/2023 12:10,Alexander Cannava,,"Infant da 0 a 2,99 gratuiti 3°/4° letto 3/11,99 anni sconto del 50% 3°/4° letto dai 12 anni ai 17,99 sconto del 25%  3°/4° letto da 18 anni sconto del 10%",Yes,Sistemazione in camera standard,giro dell'isola,"Culla Euro 10,00 al giorno , da regolare in loco Camera Singola Euro 15,00 al giorno Superior Balcone Vista Mare Euro 15,00 per camera al giorno La struttura accetta animali di piccola taglia senza supplemento, non hanno acceso alle aree comuni e sono da segnalare all'atto della prenotazione",ALL INCLUSIVE - VICINO AL MARE - 3 PISCINE - VACANZA TOP
7,Lacco Ameno,dal 04.06 a Ischia in 4 stelle a Lacco Ameno,7,7,4/6/2023,11/6/2023,375,465,- Sistemazione in camera doppia/matrimoniale standard (finestra/ balcone /terrazzino vista giardino) - Acqua inclusa ai pasti - Wi-Fi in tutta la struttura incluse le camere - Utilizzo della piscina esterna temperata di acqua naturale - Serata Piano Bar -,Totale offerta,incluse,,13/05/2023 13:09,Alexander Cannava,,Infant 0/3 anni: gratis nel letto con i genitori pasti da regolare in loco - 3°/4° letto 3/12 anni sconto del 20% - 3°/4° letto dai 12 anni sconto del 10%,Yes,Sistemazione in camera standard - acqua inclusa ai pasti,- 1 Giro dell'isola d'Ischia in Bus GT con un ora di sosta a San'Angelo - 1 Serata in pizzeria - 1 Cadeaux di prodotti tipici Ischitani - 1 Trasferimento il giorno di partenza Hotel / Porto * omaggi per soggiorni minimo 7 notti per i primi due paganti per,"Culla 0/3 anni Euro 15,00 al giorno da regolare in loco - Camera Singola Euro 15,00 al giorno - Camera Doppia uso Singola Euro 25,00 al giorno - Camera con balcone Euro 10,00 per camera al giorno - Camera Comfort Euro 20,00 per camera al giorno - Camera Superior Euro 30,00 per camera al giorno - Animali Euro Euro 10,00 al giorno da regolare in loco - Galà Ferragosto, obbligatorio da regolare in loco, Euro 50,00 per persona dai 3 anni - Cucina attenta alle intolleranze alimentari Euro 4,00 a pasto al giorno da regolare in loco",- GIUGNO ISCHIA - WELLNESS E TERME - HOTEL IN CENTRO - VICINO AL MARE -
8,Lacco Ameno,dal 11.06 a Ischia in 4 stelle a Lacco Ameno,7,7,11/6/2023,18/06/2023,375,465,- Sistemazione in camera doppia/matrimoniale standard (finestra/ balcone /terrazzino vista giardino) - Acqua inclusa ai pasti - Wi-Fi in tutta la struttura incluse le camere - Utilizzo della piscina esterna temperata di acqua naturale - Serata Piano Bar -,Totale offerta,incluse,,2/6/2023 0:23,Alexander Cannava,2,Infant 0/3 anni: gratis nel letto con i genitori pasti da regolare in loco - 3°/4° letto 3/12 anni sconto del 20% - 3°/4° letto dai 12 anni sconto del 10%,Yes,Sistemazione in camera standard - acqua inclusa ai pasti,- 1 Giro dell'isola d'Ischia in Bus GT con un ora di sosta a San'Angelo - 1 Serata in pizzeria - 1 Cadeaux di prodotti tipici Ischitani - 1 Trasferimento il giorno di partenza Hotel / Porto * omaggi per soggiorni minimo 7 notti per i primi due paganti per,"Culla 0/3 anni Euro 15,00 al giorno da regolare in loco - Camera Singola Euro 15,00 al giorno - Camera Doppia uso Singola Euro 25,00 al giorno - Camera con balcone Euro 10,00 per camera al giorno - Camera Comfort Euro 20,00 per camera al giorno - Camera Superior Euro 30,00 per camera al giorno - Animali Euro Euro 10,00 al giorno da regolare in loco - Galà Ferragosto, obbligatorio da regolare in loco, Euro 50,00 per persona dai 3 anni - Cucina attenta alle intolleranze alimentari Euro 4,00 a pasto al giorno da regolare in loco",- GIUGNO ISCHIA - WELLNESS E TERME - HOTEL IN CENTRO - VICINO AL MARE -
9,Lacco Ameno,dal 18.06 a Ischia in 4 stelle a Lacco Ameno,7,7,18/06/2023,25/06/2023,375,465,- Sistemazione in camera doppia/matrimoniale standard (finestra/ balcone /terrazzino vista giardino) - Acqua inclusa ai pasti - Wi-Fi in tutta la struttura incluse le camere - Utilizzo della piscina esterna temperata di acqua naturale - Serata Piano Bar -,Totale offerta,incluse,,13/05/2023 13:09,Alexander Cannava,,Infant 0/3 anni: gratis nel letto con i genitori pasti da regolare in loco - 3°/4° letto 3/12 anni sconto del 20% - 3°/4° letto dai 12 anni sconto del 10%,Yes,Sistemazione in camera standard - acqua inclusa ai pasti,- 1 Giro dell'isola d'Ischia in Bus GT con un ora di sosta a San'Angelo - 1 Serata in pizzeria - 1 Cadeaux di prodotti tipici Ischitani - 1 Trasferimento il giorno di partenza Hotel / Porto * omaggi per soggiorni minimo 7 notti per i primi due paganti per,"Culla 0/3 anni Euro 15,00 al giorno da regolare in loco - Camera Singola Euro 15,00 al giorno - Camera Doppia uso Singola Euro 25,00 al giorno - Camera con balcone Euro 10,00 per camera al giorno - Camera Comfort Euro 20,00 per camera al giorno - Camera Superior Euro 30,00 per camera al giorno - Animali Euro Euro 10,00 al giorno da regolare in loco - Galà Ferragosto, obbligatorio da regolare in loco, Euro 50,00 per persona dai 3 anni - Cucina attenta alle intolleranze alimentari Euro 4,00 a pasto al giorno da regolare in loco",- GIUGNO ISCHIA - WELLNESS E TERME - HOTEL IN CENTRO - VICINO AL MARE -
10,Lacco Ameno,dal 09.07 a Ischia in 4 stelle a Lacco Ameno,7,7,9/7/2023,16/07/2023,445,545,- Sistemazione in camera doppia/matrimoniale standard (finestra/ balcone /terrazzino vista giardino) - Acqua inclusa ai pasti - Wi-Fi in tutta la struttura incluse le camere - Utilizzo della piscina esterna temperata di acqua naturale - Serata Piano Bar -,Totale offerta,incluse,,13/05/2023 13:11,Alexander Cannava,,Infant 0/3 anni: gratis nel letto con i genitori pasti da regolare in loco - 3°/4° letto 3/12 anni sconto del 20% - 3°/4° letto dai 12 anni sconto del 10%,Yes,Sistemazione in camera standard - acqua inclusa ai pasti,- 1 Giro dell'isola d'Ischia in Bus GT con un ora di sosta a San'Angelo - 1 Serata in pizzeria - 1 Cadeaux di prodotti tipici Ischitani - 1 Trasferimento il giorno di partenza Hotel / Porto * omaggi per soggiorni minimo 7 notti per i primi due paganti per,"Culla 0/3 anni Euro 15,00 al giorno da regolare in loco - Camera Singola Euro 15,00 al giorno - Camera Doppia uso Singola Euro 25,00 al giorno - Camera con balcone Euro 10,00 per camera al giorno - Camera Comfort Euro 20,00 per camera al giorno - Camera Superior Euro 30,00 per camera al giorno - Animali Euro Euro 10,00 al giorno da regolare in loco - Galà Ferragosto, obbligatorio da regolare in loco, Euro 50,00 per persona dai 3 anni - Cucina attenta alle intolleranze alimentari Euro 4,00 a pasto al giorno da regolare in loco",- LUGLIO ISCHIA - WELLNESS E TERME - HOTEL IN CENTRO - VICINO AL MARE -
